paperId,title,year,citationCount,cites_per_year,subfield,fieldsOfStudy,doi,landmark,abstract
W3215804117,Gas Concentration Prediction in Continuous Monitoring Based on Echo State Network,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ccdc52312.2021.9602557,,"In this paper, we introduce an echo state network (ESN) model approach for gas concentration estimation using Metal Oxide (MOX) sensors in Open Sampling System (OSS). Our approach focuses on the compensation of the slow response of MOX sensors, while concurrently solving the problem of estimating th"
W3204120322,Estimation of heat generation by using echo state network for diagnosing thermal characteristics,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.measen.2021.100238,,"Temperature measurement can be an effective method for diagnosing anomalies in equipment. The amount of internally generated heat may be due to load or an anomaly. Therefore, it is desirable to know how much heat was generated at what time. Echo State Network (ESN), which expresses physical heat tra"
W3211358746,Echo State Networks for predicting financial time series,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.4316/jacsm.202102006,,JACSM - A general problem occurring when training the recurrent neural networks (RNN) is that the solution space is extensive and the chance of choosing a local minimum instead of a global minimum is high. This is due to the fact that the weights among the neurons are variable. ESN networks are solv
W3174549708,Improved Acoustic Modeling for Automatic Piano Music Transcription Using Echo State Networks,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-85099-9_12,,
W4200182973,Evaluation of Recurrent Neural Network Models for Parkinson's Disease Classification Using Drawing Data,2021,7,1.4,Signal Processing & Comms,Computer Science; Physical Sciences,https://doi.org/10.1109/embc46164.2021.9630106,,"Parkinson's disease is a disorder that affects the neurons in the human brain. The various symptoms include slowness of motor functions (bradykinesia), motor instability, speech impairment and in some cases, psychiatric effects such as hallucinations. Most of these, however, are also common side eff"
W3190764372,Neural-Adaptive Constrained Flight Control for Air–Ground Recovery Under Terrain Obstacles,2021,13,2.6,Nonlinear Dynamics & Chaos,Engineering; Physical Sciences,https://doi.org/10.1109/taes.2021.3101592,,"This article contrives a neural-adaptive constrained controller of the cable towed air–ground recovery system subject to terrain obstacles, unmeasurable cable tensions, trailing vortex, wind gust, and actuator saturation. In air–ground recovery system modeling, the towed vehicle's nominal 6 DOF affi"
W4408082253,PREDICTION OF MULTIVARIATE TIME SERIES DATA USING ECHO STATE NETWORK AND HARMONY SEARCH,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.12962/j24068535.v19i2.a1051,,"Multivariate time series data prediction is widely applied in various fields such as industry, health, and economics. Several methods can form prediction models, such as Artificial Neural Network (ANN) and Recurrent Neural Network (RNN). However, this method has an error value more significant than "
W4231018179,Soft sensor development using novel multi-activation functions based ensemble echo state network,2021,0,0.0,Nonlinear Dynamics & Chaos,Engineering; Physical Sciences,https://doi.org/10.1109/cac53003.2021.9728611,,"In recent years, due to the continuous expansion of the scale of chemical industry, chemical industry data presents the characteristics of high dimensionality, large quantity, and strong nonlinearity, which greatly increases the difficulty of process modeling. Data-driven soft-sensing modeling metho"
W4383901452,Recurrent Equilibrium Networks: Flexible Dynamic Models with Guaranteed Stability and Robustness,2021,7,1.4,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2104.05942,,"This paper introduces recurrent equilibrium networks (RENs), a new class of nonlinear dynamical models} for applications in machine learning, system identification and control. The new model class admits ``built in'' behavioural guarantees of stability and robustness. All models in the proposed clas"
W3205871710,Chaotic systems learning with hybrid echo state network/proper orthogonal decomposition based model,2021,0,0.0,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1017/dce.2021.17,,Abstract We explore the possibility of combining a knowledge-based reduced order model (ROM) with a reservoir computing approach to learn and predict the dynamics of chaotic systems. The ROM is based on proper orthogonal decomposition (POD) with Galerkin projection to capture the essential dynamics 
W3203649537,Time Series Prediction of Machine Tool Sensor Data with Deep Echo State Network for Anomaly Detection,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1299/jsmeiip.2021.iip1a1-2,,"In this presentation, we present Deep Echo State Network （DeepESN）, which is suitable for time series prediction of sensor data during machining of machine tools. The recursive structure is built into each reservoir layer of DeepESN to improve the prediction accuracy of time series. In the experimen"
W3207522462,Constraint optimization for Echo State Networks applied to satellite image forecasting,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.14428/esann/2021.es2021-135,,
W3208920299,"Modeling Physically-Consistent, Chaotic Spatiotemporal Dynamics with Echo State Networks.",2021,0,0.0,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,,,
W3168317787,Tourist Demand Prediction Model Based on Improved Fruit Fly Algorithm,2021,6,1.2,Mathematics & Theory,Computer Science; Physical Sciences,https://doi.org/10.1155/2021/3411797,,"To accurately predict the development and change trend of the future, tourism market can effectively improve the planning and purpose of tourism development. In order to improve the accuracy of tourist demand prediction, this paper studies the tourist demand prediction model based on improved fruit "
W4240000763,Virtual sounding of solar-wind effects on the AU and AL indices based on an echo state network model,2021,0,0.0,Climate & Earth Sciences,Computer Science; Physical Sciences,https://doi.org/10.1002/essoar.10507952.1,,Earth and Space Science Open Archive This preprint has been submitted to and is under consideration at Journal of Geophysical Research - Space Physics. ESSOAr is a venue for early communication or feedback before peer review. Data may be preliminary.Learn more about preprints preprintOpen AccessYou 
W4226479941,Predicting Shallow Water Dynamics using Echo-State Networks with Transfer Learning,2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2112.09182,,"In this paper we demonstrate that reservoir computing can be used to learn the dynamics of the shallow-water equations. In particular, while most previous applications of reservoir computing have required training on a particular trajectory to further predict the evolution along that trajectory alon"
W4287326827,"On the Post-hoc Explainability of Deep Echo State Networks for Time\n Series Forecasting, Image and Video Classification",2021,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2102.08634,,"Since their inception, learning techniques under the Reservoir Computing\nparadigm have shown a great modeling capability for recurrent systems without\nthe computing overheads required for other approaches. Among them, different\nflavors of echo state networks have attracted many stares through tim"
W3198499832,Network traffic prediction model based on ensemble empirical mode decomposition and multiple models,2021,4,0.8,General RC / ESN Methods,Engineering; Physical Sciences,https://doi.org/10.1002/dac.4966,,"Summary In order to improve the prediction accuracy of network traffic, a novel prediction model based on ensemble empirical mode decomposition and multiple models is proposed. In this study, ensemble empirical mode decomposition algorithm is introduced to decompose the network traffic and get sever"
W4317466393,Advanced control based on Recurrent Neural Networks learned using\n Virtual Reference Feedback Tuning and application to an Electronic Throttle\n Body (with supplementary material),2021,3,0.6,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2103.02567,,In this paper the application of Virtual Reference Feedback Tuning (VRFT) for\ncontrol of nonlinear systems with regulators defined by Echo State Networks\n(ESN) and Long Short Term Memory (LSTM) networks is investigated. The\ncapability of this class of regulators of constraining the control variab
